"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b1","b3","b4","b5","b6.1"
"9183",43728,"64",3,2,22,2,1,1,1,2,1,11,14,9,13154.3333333333,6496,1,2,4266,556,6496,3200,2,2,NA,2,2
"9184",43728,"64",3,2,45,1,1,1,4,2,3,5,9,9,13154.3333333333,6496,1,2,4266,556,6496,3200,6,1,NA,2,2
"9185",43728,"64",3,1,45,1,1,1,4,2,3,1,0,9,13154.3333333333,6496,1,2,4266,556,6496,3200,8,1,NA,1,2
"9186",43734,"64",4,2,32,1,1,1,4,2,2,5,9,14,8713.25,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9187",43734,"64",4,1,35,1,1,1,4,2,2,5,9,14,8713.25,7680,1,2,4800,325,7680,4600,6,1,2,1,2
"9188",43740,"64",5,1,20,2,1,1,4,1,2,5,9,17,7932.4,7000,1,2,4620,552,7000,3500,9,1,2,2,1
"9189",43740,"64",5,1,48,1,1,1,4,1,2,5,8,17,7932.4,7000,1,2,4620,552,7000,3500,6,1,2,2,1
"9190",43740,"64",5,2,48,1,1,1,4,2,2,5,8,17,7932.4,7000,1,2,4620,552,7000,3500,6,1,2,2,2
"9191",43746,"64",4,2,42,1,1,1,4,1,2,5,8,13,11209.75,7000,1,2,4620,552,7000,3500,1,1,2,1,1
"9192",43746,"64",4,1,43,1,1,1,4,2,2,4,5,13,11209.75,7000,1,2,4620,552,7000,3500,1,1,2,1,2
"9193",43746,"64",4,2,20,2,1,1,4,NA,1,8,13,13,11209.75,7000,1,2,4620,552,7000,3500,2,NA,NA,NA,NA
"9194",43752,"64",2,2,59,1,1,1,4,2,4,1,NA,15,13838.5,7000,1,2,4620,552,7000,3500,6,1,NA,2,2
"9195",43752,"64",2,1,57,1,1,1,4,2,4,5,7,15,13838.5,7000,1,2,4620,552,7000,3500,9,1,NA,2,2
"9196",43758,"64",5,1,38,1,1,1,4,1,3,5,9,20,9862.8,7000,1,2,4620,552,7000,3500,1,2,2,2,1
"9197",43758,"64",5,2,34,1,1,1,4,1,3,5,9,20,9862.8,7000,1,2,4620,552,7000,3500,6,2,2,2,1
"9198",43770,"64",2,2,53,1,1,1,4,2,4,4,NA,11,27419.5,7000,1,2,4620,552,7000,3500,6,1,2,2,2
"9199",43770,"64",2,1,53,1,1,1,1,2,4,6,NA,11,27419.5,7000,1,2,4620,552,7000,3500,1,1,2,2,2
"9200",43776,"64",4,2,33,1,1,1,4,2,4,5,9,5,9311.75,7000,1,2,4620,552,7000,3500,6,1,2,2,2
"9201",43776,"64",4,1,36,1,1,1,1,1,4,6,12,5,9311.75,7000,1,2,4620,552,7000,3500,1,1,2,1,1
"9202",43782,"64",6,2,40,1,1,1,4,1,3,5,8,14,12283.3333333333,7000,1,2,4620,552,7000,3500,1,2,2,NA,1
"9203",43782,"64",6,1,41,1,1,1,4,2,3,5,8,14,12283.3333333333,7000,1,2,4620,552,7000,3500,1,1,2,1,2
